username,is_possible_bad_actor,profile_pic_id,is_possible_scammer,is_favorite,full_name,is_verified,profile_pic_url,latest_reel_media,_id,fbid_v2,strong_id__,is_private,datetime_inserted,pk_id,third_party_downloads_enabled,pk,account_badges,has_anonymous_profile_picture
"""alitheloaf""","{""is_possible_scammer"": false, ""is_possible_impersonator"": {""is_unconnected_impersonator"": false, ""connected_similar_user_id"": null}, ""is_possible_impersonator_threads"": {""is_unconnected_impersonator"": false, ""connected_similar_user_id"": null}}","""3149815556121776771_4035730163""",false,false,"""🎀🗡ali 🗡🎀""",false,"""https://scontent-yyz1-1.cdninstagram.com/v/t51.2885-19/361115840_1318678082387366_6469844226836969573_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-yyz1-1.cdninstagram.com&_nc_cat=102&_nc_ohc=fwZxMew4dM8AX83C5rr&edm=ALB854YBAAAA&ccb=7-5&oh=00_AfCd20UBNXQL5FnW_x6jGcgAUfGc4G_o20TycpzyqVuVzw&oe=650C2331&_nc_sid=ce9561""",0,"""""","""17841403904914466""","""4035730163""",false,"""""","""4035730163""",0,"""4035730163""",[],false
"""visual.diary.zip""","{""is_possible_scammer"": false, ""is_possible_impersonator"": {""is_unconnected_impersonator"": false, ""connected_similar_user_id"": null}, ""is_possible_impersonator_threads"": {""is_unconnected_impersonator"": false, ""connected_similar_user_id"": null}}","""3165809838288564357_48651218432""",false,false,"""다이어리⋆·˚༘""",false,"""https://scontent-yyz1-1.cdninstagram.com/v/t51.2885-19/366001421_691504616144527_2187380304226600939_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-yyz1-1.cdninstagram.com&_nc_cat=107&_nc_ohc=_X4Kyw_-fs4AX8Iuu7s&edm=ALB854YBAAAA&ccb=7-5&oh=00_AfCxD_r01Sj9f8nDuXpIBvQs_Gd41kaU0aDaScPx-rJsQw&oe=650D8002&_nc_sid=ce9561""",0,"""""","""17841448552981402""","""48651218432""",false,"""""","""48651218432""",0,"""48651218432""",[],false
"""animalcrossing_official""","{""is_possible_scammer"": false, ""is_possible_impersonator"": {""is_unconnected_impersonator"": false, ""connected_similar_user_id"": null}, ""is_possible_impersonator_threads"": {""is_unconnected_impersonator"": false, ""connected_similar_user_id"": null}}","""2352060988834112169_29296182444""",false,false,"""Animal Crossing: New Horizons""",true,"""https://scontent-yyz1-1.cdninstagram.com/v/t51.2885-19/107900915_1173811799646440_3691312749977591930_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-yyz1-1.cdninstagram.com&_nc_cat=108&_nc_ohc=X6yI1fIjieQAX-z403e&edm=ALB854YBAAAA&ccb=7-5&oh=00_AfDfLzWu30qLVc2u6gq3QX22vRZ-dojkZLI_uYk80z1PiA&oe=650C9FDF&_nc_sid=ce9561""",0,"""""","""17841429473322022""","""29296182444""",false,"""""","""29296182444""",0,"""29296182444""",[],false
"""crazyrussianhacker""","{""is_possible_scammer"": false, ""is_possible_impersonator"": {""is_unconnected_impersonator"": false, ""connected_similar_user_id"": null}, ""is_possible_impersonator_threads"": {""is_unconnected_impersonator"": false, ""connected_similar_user_id"": null}}","""1531565002083116033_233195972""",false,false,"""Taras Kul""",true,"""https://scontent-yyz1-1.cdninstagram.com/v/t51.2885-19/18879574_1929705673980631_7965402783308316672_a.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-yyz1-1.cdninstagram.com&_nc_cat=107&_nc_ohc=8jL5aOj2ukAAX-NICU_&edm=ALB854YBAAAA&ccb=7-5&oh=00_AfA4JpND8mHYrjh46ROebNSaiBGGv22FZHRnshwO4jKAyg&oe=650C52B5&_nc_sid=ce9561""",0,"""""","""17841401319163643""","""233195972""",false,"""""","""233195972""",1,"""233195972""",[],false
"""fantomegirl""","{""is_possible_scammer"": false, ""is_possible_impersonator"": {""is_unconnected_impersonator"": false, ""connected_similar_user_id"": null}, ""is_possible_impersonator_threads"": {""is_unconnected_impersonator"": false, ""connected_similar_user_id"": null}}","""3093884912821063319_19486426929""",false,false,"""bunni""",false,"""https://scontent-yyz1-1.cdninstagram.com/v/t51.2885-19/344575729_605109318307599_3275650743799663222_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-yyz1-1.cdninstagram.com&_nc_cat=103&_nc_ohc=rFIr72mDptEAX-6Uo-8&edm=ALB854YBAAAA&ccb=7-5&oh=00_AfCsO85B1B7LB_W8wmZyIaOhRx6nLhZJnVmrDkSV2yO1uQ&oe=650C7A49&_nc_sid=ce9561""",0,"""""","""17841419527875803""","""19486426929""",false,"""""","""19486426929""",0,"""19486426929""",[],false
"""domocca""","{""is_possible_scammer"": false, ""is_possible_impersonator"": {""is_unconnected_impersonator"": false, ""connected_similar_user_id"": null}, ""is_possible_impersonator_threads"": {""is_unconnected_impersonator"": false, ""connected_similar_user_id"": null}}","""2969393192740288744_7420415047""",false,false,"""Domocca""",false,"""https://scontent-yyz1-1.cdninstagram.com/v/t51.2885-19/314913788_896507114599756_2549293160382063154_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-yyz1-1.cdninstagram.com&_nc_cat=104&_nc_ohc=oW3vuQ8O6ZQAX9Yq8Cd&edm=ALB854YBAAAA&ccb=7-5&oh=00_AfAXaESZA-BJLF3mQwejgBxY8KkIzu3uw8ahjg1GEKrPWQ&oe=650C9951&_nc_sid=ce9561""",0,"""""","""17841407411437551""","""7420415047""",false,"""""","""7420415047""",0,"""7420415047""",[],false
"""bakatattoomtl""","{""is_possible_scammer"": false, ""is_possible_impersonator"": {""is_unconnected_impersonator"": false, ""connected_similar_user_id"": null}, ""is_possible_impersonator_threads"": {""is_unconnected_impersonator"": false, ""connected_similar_user_id"": null}}","""2824453892419854465_1482132059""",false,false,"""Baka Tattoo""",false,"""https://scontent-yyz1-1.cdninstagram.com/v/t51.2885-19/279110861_142665804975476_6887344853651795573_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-yyz1-1.cdninstagram.com&_nc_cat=108&_nc_ohc=KCfmZGnxgwUAX99d5Cb&edm=ALB854YBAAAA&ccb=7-5&oh=00_AfBC39Md9Mhi7b_rWCIeHA-xlvDMXQ9PO8GQewo8nXP9Bw&oe=650D7077&_nc_sid=ce9561""",0,"""""","""17841400601793158""","""1482132059""",false,"""""","""1482132059""",0,"""1482132059""",[],false
"""yashface2310""","{""is_possible_scammer"": false, ""is_possible_impersonator"": {""is_unconnected_impersonator"": false, ""connected_similar_user_id"": null}, ""is_possible_impersonator_threads"": {""is_unconnected_impersonator"": false, ""connected_similar_user_id"": null}}","""3178183237255863500_1653967371""",false,false,"""Yasha""",false,"""https://scontent-yyz1-1.cdninstagram.com/v/t51.2885-19/370225700_3226327617511309_2078668162450989544_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-yyz1-1.cdninstagram.com&_nc_cat=1&_nc_ohc=zfSchZHT8EUAX9c3TKA&edm=ALB854YBAAAA&ccb=7-5&oh=00_AfAr_jsd0lEBwoFpr5zTmkfLCEHo5jbOdtlwUUVmKjLv-A&oe=650C5A30&_nc_sid=ce9561""",0,"""""","""17841400461155843""","""1653967371""",false,"""""","""1653967371""",1,"""1653967371""",[],false
"""softbrattattz""","{""is_possible_scammer"": false, ""is_possible_impersonator"": {""is_unconnected_impersonator"": false, ""connected_similar_user_id"": null}, ""is_possible_impersonator_threads"": {""is_unconnected_impersonator"": false, ""connected_similar_user_id"": null}}","""2790738107416956998_1800470703""",false,false,"""Jamie Avakian""",false,"""https://scontent-yyz1-1.cdninstagram.com/v/t51.2885-19/275461624_1712677675739623_8686433933763652767_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-yyz1-1.cdninstagram.com&_nc_cat=107&_nc_ohc=SajbVBKu1TIAX8ci1j8&edm=ALB854YBAAAA&ccb=7-5&oh=00_AfBGYTCU8OjeIqexdqyk9xiIMFy6u5hNLZzOeZJzE958mA&oe=650C5781&_nc_sid=ce9561""",0,"""""","""17841400681118132""","""1800470703""",false,"""""","""1800470703""",0,"""1800470703""",[],false
"""edgerunners""","{""is_possible_scammer"": false, ""is_possible_impersonator"": {""is_unconnected_impersonator"": false, ""connected_similar_user_id"": null}, ""is_possible_impersonator_threads"": {""is_unconnected_impersonator"": false, ""connected_similar_user_id"": null}}","""2839445844219960530_52175247028""",false,false,"""Edgerunners""",true,"""https://scontent-yyz1-1.cdninstagram.com/v/t51.2885-19/280859518_982100175824923_3528288108592593586_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-yyz1-1.cdninstagram.com&_nc_cat=107&_nc_ohc=9UgLtC2LXkkAX8el6-z&edm=ALB854YBAAAA&ccb=7-5&oh=00_AfAM608dyZY_9iIRpmotOEiD0k259bJTc4v3UEDRN__qzQ&oe=650CA060&_nc_sid=ce9561""",0,"""""","""17841452290851905""","""52175247028""",false,"""""","""52175247028""",0,"""52175247028""",[],false
